(R12, R13, "--"):   32.884 ( 11.7865),    0.049,  8192  0x46000000  [  32.947,   32.843,   32.943,   32.845,   32.844]
(R12, R13, "-R"):   32.905 ( 11.7940),    0.051,  8192  0x46000000  [  32.842,   32.949,   32.947,   32.843,   32.945]
(R12, R13, "R-"):   16.772 (  6.0115),    0.040,  8192  0x46000000  [  16.750,   16.853,   16.752,   16.750,   16.756]
(R12, R13, "RR"):   16.749 (  6.0034),    0.032,  8192  0x46000000  [  16.751,   16.749,   16.748,   16.699,   16.800]
(R12, R14, "--"):   32.868 ( 11.7806),    0.105,  8192  0x46000000  [  32.991,   32.906,   32.954,   32.744,   32.744]
(R12, R14, "-R"):   32.823 ( 11.7645),    0.040,  8192  0x46000000  [  32.843,   32.843,   32.744,   32.842,   32.843]
(R12, R14, "R-"):   16.752 (  6.0044),    0.033,  8192  0x46000000  [  16.756,   16.802,   16.752,   16.699,   16.752]
(R12, R14, "RR"):   16.740 (  6.0001),    0.020,  8192  0x46000000  [  16.749,   16.750,   16.753,   16.749,   16.700]
(R12, R15, "--"):   32.865 ( 11.7794),    0.040,  8192  0x46000000  [  32.844,   32.843,   32.844,   32.945,   32.847]
(R12, R15, "-R"):   32.864 ( 11.7793),    0.040,  8192  0x46000000  [  32.845,   32.843,   32.843,   32.945,   32.845]
(R12, R15, "R-"):   16.759 (  6.0068),    0.012,  8192  0x46000000  [  16.750,   16.783,   16.750,   16.759,   16.753]
(R12, R15, "RR"):   16.785 (  6.0161),    0.026,  8192  0x46000000  [  16.807,   16.753,   16.754,   16.806,   16.805]
(R13, R8 , "--"):   32.864 ( 11.7791),    0.074,  8192  0x46000000  [  32.941,   32.846,   32.845,   32.944,   32.743]
(R13, R8 , "-R"):   16.752 (  6.0044),    0.002,  8192  0x46000000  [  16.750,   16.754,   16.754,   16.753,   16.750]
(R13, R8 , "R-"):   32.846 ( 11.7728),    0.002,  8192  0x46000000  [  32.843,   32.847,   32.845,   32.850,   32.846]
(R13, R8 , "RR"):   16.761 (  6.0077),    0.021,  8192  0x46000000  [  16.750,   16.753,   16.803,   16.750,   16.751]
(R13, R9 , "--"):   32.868 ( 11.7806),    0.031,  8192  0x46000000  [  32.843,   32.843,   32.842,   32.903,   32.908]
(R13, R9 , "-R"):   16.744 (  6.0014),    0.002,  8192  0x46000000  [  16.742,   16.747,   16.744,   16.744,   16.743]
(R13, R9 , "R-"):   16.745 (  6.0018),    0.031,  8192  0x46000000  [  16.796,   16.745,   16.742,   16.745,   16.697]
(R13, R9 , "RR"):   16.661 (  5.9716),    0.001,  8192  0x46000000  [  16.661,   16.661,   16.661,   16.659,   16.662]
(R13, R10, "--"):   16.645 (  5.9660),    0.024,  8192  0x46000000  [  16.626,   16.625,   16.625,   16.677,   16.673]
(R13, R10, "-R"):   16.665 (  5.9732),    0.031,  8192  0x46000000  [  16.631,   16.685,   16.705,   16.627,   16.678]
(R13, R10, "R-"):   16.636 (  5.9627),    0.021,  8192  0x46000000  [  16.626,   16.678,   16.629,   16.625,   16.622]
(R13, R10, "RR"):   16.646 (  5.9664),    0.026,  8192  0x46000000  [  16.625,   16.681,   16.626,   16.676,   16.623]
(R13, R11, "--"):   16.649 (  5.9672),    0.021,  8192  0x46000000  [  16.683,   16.664,   16.633,   16.629,   16.634]
(R13, R11, "-R"):   16.634 (  5.9622),    0.020,  8192  0x46000000  [  16.623,   16.628,   16.621,   16.626,   16.674]
(R13, R11, "R-"):   16.618 (  5.9563),    0.018,  8192  0x46000000  [  16.624,   16.582,   16.629,   16.626,   16.629]
(R13, R11, "RR"):   16.632 (  5.9613),    0.011,  8192  0x46000000  [  16.627,   16.626,   16.624,   16.654,   16.629]
(R13, R12, "--"):   32.885 ( 11.7867),    0.050,  8192  0x46000000  [  32.947,   32.845,   32.843,   32.843,   32.946]
(R13, R12, "-R"):   16.778 (  6.0135),    0.034,  8192  0x46000000  [  16.758,   16.750,   16.838,   16.792,   16.750]
(R13, R12, "R-"):   32.905 ( 11.7938),    0.082,  8192  0x46000000  [  32.845,   32.841,   32.944,   33.049,   32.845]
(R13, R12, "RR"):   16.754 (  6.0049),    0.001,  8192  0x46000000  [  16.753,   16.753,   16.756,   16.754,   16.752]
(R13, R13, "--"):   16.655 (  5.9696),    0.025,  8192  0x46000000  [  16.624,   16.626,   16.669,   16.681,   16.676]
(R13, R13, "-R"):   16.646 (  5.9662),    0.026,  8192  0x46000000  [  16.677,   16.626,   16.623,   16.624,   16.679]
(R13, R13, "R-"):   16.608 (  5.9528),    0.023,  8192  0x46000000  [  16.625,   16.583,   16.577,   16.627,   16.630]
(R13, R13, "RR"):   16.662 (  5.9722),    0.029,  8192  0x46000000  [  16.635,   16.670,   16.705,   16.626,   16.676]
(R13, R14, "--"):   16.650 (  5.9676),    0.040,  8192  0x46000000  [  16.681,   16.631,   16.681,   16.578,   16.677]
(R13, R14, "-R"):   16.632 (  5.9612),    0.045,  8192  0x46000000  [  16.623,   16.712,   16.624,   16.626,   16.574]
(R13, R14, "R-"):   16.645 (  5.9659),    0.041,  8192  0x46000000  [  16.623,   16.623,   16.626,   16.727,   16.625]
(R13, R14, "RR"):   16.636 (  5.9627),    0.019,  8192  0x46000000  [  16.626,   16.629,   16.624,   16.674,   16.626]
(R13, R15, "--"):   16.645 (  5.9659),    0.026,  8192  0x46000000  [  16.677,   16.622,   16.624,   16.675,   16.626]
(R13, R15, "-R"):   16.657 (  5.9704),    0.025,  8192  0x46000000  [  16.626,   16.628,   16.675,   16.678,   16.680]
(R13, R15, "R-"):   16.659 (  5.9708),    0.026,  8192  0x46000000  [  16.626,   16.680,   16.680,   16.680,   16.627]
(R13, R15, "RR"):   16.646 (  5.9664),    0.025,  8192  0x46000000  [  16.628,   16.679,   16.626,   16.624,   16.674]
(R14, R8 , "--"):   32.823 ( 11.7646),    0.042,  8192  0x46000000  [  32.843,   32.845,   32.844,   32.740,   32.844]
(R14, R8 , "-R"):   16.751 (  6.0039),    0.027,  8192  0x46000000  [  16.788,   16.758,   16.754,   16.752,   16.703]
(R14, R8 , "R-"):   32.846 ( 11.7728),    0.002,  8192  0x46000000  [  32.848,   32.845,   32.844,   32.848,   32.846]
(R14, R8 , "RR"):   16.765 (  6.0088),    0.021,  8192  0x46000000  [  16.755,   16.752,   16.807,   16.751,   16.758]
(R14, R9 , "--"):   16.668 (  5.9741),    0.020,  8192  0x46000000  [  16.681,   16.676,   16.673,   16.628,   16.681]
(R14, R9 , "-R"):   16.648 (  5.9671),    0.026,  8192  0x46000000  [  16.626,   16.681,   16.624,   16.678,   16.632]
(R14, R9 , "R-"):   16.635 (  5.9622),    0.014,  8192  0x46000000  [  16.662,   16.627,   16.628,   16.629,   16.627]
(R14, R9 , "RR"):   16.638 (  5.9633),    0.020,  8192  0x46000000  [  16.678,   16.630,   16.631,   16.625,   16.624]
(R14, R10, "--"):   32.859 ( 11.7775),    0.048,  8192  0x46000000  [  32.844,   32.847,   32.847,   32.950,   32.808]
(R14, R10, "-R"):   16.781 (  6.0146),    0.031,  8192  0x46000000  [  16.748,   16.747,   16.781,   16.798,   16.829]
(R14, R10, "R-"):   16.746 (  6.0023),    0.003,  8192  0x46000000  [  16.742,   16.748,   16.751,   16.745,   16.746]
(R14, R10, "RR"):   16.677 (  5.9776),    0.022,  8192  0x46000000  [  16.660,   16.693,   16.713,   16.659,   16.662]
(R14, R11, "--"):   16.629 (  5.9601),    0.031,  8192  0x46000000  [  16.627,   16.634,   16.677,   16.579,   16.627]
